crscode,name,longitude,latitude,easting,northing,staffinglevel,cctv,ticketmachine,carspaces,busservices,category,frequency,entsexits,dateopened
BOW,BOW STREET,-4.03084,52.43922,262051,284301,unstaffed,true,true,69,true,F,31,0,14/02/2021
KTR,KINTORE,-2.350278,57.243611,378959,817044,unstaffed,true,true,168,true,F,58,0,15/10/2020
MRW,MERIDIAN WATER,-0.0493156,51.6110012,535168,192043,partTime,false,true,0,true,C,22,0,3/6/2019
HRE,HORDEN,-1.3073,54.7638,444566,541216,unstaffed,true,true,139,true,F,36,0,29/06/2020
WOP,WORCESTERSHIRE PARKWAY,-2.1609,52.1556,388994,250871,fullTime,true,true,483,true,E,68,0,23/02/2020
RRN,ROBROYSTON,-4.172291,55.887581,264151 ,668178,unstaffed,true,true,231,true,F,73,0,15/12/2019
WAW,WARRINGTON WEST,-2.638611,53.393611,357538,388750,fullTime,true,true,287,true,E,68,0,15/12/2019
SAJ,ST JOHNS (LONDON),-0.022719,51.469389,537435,176345,partTime,true,true,0,true,E,267,1000764,
MTA,MOUNTAIN ASH,-3.376341,51.681329,304940,198960,unstaffed,true,false,19,true,F2,62,100126,
DNS,DINAS POWYS,-3.218351,51.431663,315400,171000,unstaffed,true,true,0,true,F2,130,100154,
ROR,ROGERSTONE,-3.066612,51.595614,326214,189069,unstaffed,true,true,64,NA,F2,34,100266,6/2/2008
CNP,CONWAY PARK,-3.022671,53.393357,332090,388990,fullTime,true,false,0,true,E,239,1002716,
NVR,NAVIGATION ROAD,-2.343417,53.395374,377261,388782,unstaffed,true,true,0,true,F2,42,100396,
LGJ,LOUGHBOROUGH JUNCTION,-0.102182,51.466296,531925,175855,partTime,true,true,0,true,E,155,1004774,
BAA,BARNHAM,-0.639680,50.830905,495897,104367,fullTime,true,true,0,true,D,333,1005324,
CRF,CARFIN,-3.956254,55.807338,277490,658850,unstaffed,true,false,10,true,F,33,100602,
ORN,OLD ROAN,-2.951071,53.486893,336990,399330,fullTime,true,false,0,true,E,124,1006706,
AYP,ALBANY PARK,0.125737,51.435451,547855,172860,partTime,true,true,0,true,D,169,1006946,
HMP,HAMPTON (LONDON),-0.372119,51.415933,513300,169803,partTime,true,true,0,true,C2,81,1007302,
DNL,DUNLOP,-4.532389,55.711878,241000,649400,unstaffed,true,true,15,true,F,69,100798,
KWN,KILWINNING,-4.710018,55.655950,229600,643600,partTime,true,true,310,true,C,196,1008180,
LYM,LYMPSTONE VILLAGE,-3.431007,50.648291,298925,84156,unstaffed,true,false,20,true,F2,65,101022,
DZY,DANZEY,-1.820877,52.324811,412305,269650,unstaffed,false,false,0,true,F2,34,10112,
BRL,BARRHILL,-4.781781,55.097003,222600,581600,unstaffed,false,false,2,true,E,16,10124,
BEH,BEDWORTH,-1.467392,52.479295,436270,286952,unstaffed,true,true,0,true,F2,36,101306,
RCA,RISCA & PONTYMISTER,-3.092209,51.605845,324458,190233,unstaffed,true,true,94,NA,F2,34,101516,6/2/2008
ALB,ALBRIGHTON,-2.268900,52.637941,381900,304500,unstaffed,false,true,0,true,F2,43,101548,
ANS,AINSDALE,-3.042652,53.602031,331101,412224,fullTime,true,false,56,true,E,143,1016242,
MGM,METHERINGHAM,-0.391453,53.138878,507700,361400,unstaffed,true,false,25,true,F2,28,101878,
