"region","total1112","total1819","pcchange"
"East","25712896","32841524","27.72"
"East Midlands","8736908","10657746","21.99"
"London","101787376","151218012","48.56"
"North East","4196538","4682594","11.58"
"North West","71077966","77131686","8.52"
"Scotland","56667846","65486000","15.56"
"South East","51646832","59292652","14.8"
"South West","13559070","16522396","21.85"
"Wales - Cymru","19768310","25095538","26.95"
"West Midlands","26984188","36779458","36.3"
"Yorkshire And The Humber","23381482","25867398","10.63"
